case	admission expectation	base-absolute	base-validate-micro	base-validate-process	base-validate-profile	calibrate	cand-absolute	cand-validate-micro	cand-validate-process	cand-validate-profile	paired
positive-equal-values	component-positive only; synthetic is never admissible	0	0	0	0	0	0	0	0	0	0
aa-one-source-field-drift	reject admission	0	0	0	0	0	2	0	0	0	2
aa-consistent-source-drift	reject admission	0	0	0	0	0	0	0	0	0	0
source-wrong-consistent	reject admission	0	0	0	0	0	0	0	0	0	0
source-missing	reject admission	0	1	0	0	0	0	1	0	0	0
source-cross-report-mismatch	reject admission	0	0	0	0	0	2	0	0	0	2
aa-micro-binary-drift	reject admission	0	0	0	0	0	0	0	0	0	0
micro-binary-missing	reject admission	0	0	0	0	0	2	1	0	0	2
micro-binary-nonhex	reject admission	0	0	0	0	0	0	0	0	0	0
process-binaries-missing	reject admission	0	0	0	0	0	0	0	1	0	0
process-binary-size-bool	reject admission	0	0	0	0	0	0	0	0	0	0
process-binary-nonhex	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-missing-server	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-drift-server	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-missing-cli	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-drift-cli	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-missing-peer	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-drift-peer	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-missing-probe	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-drift-probe	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-missing-launcher	reject admission	0	0	0	0	0	0	0	0	0	0
binary-role-drift-launcher	reject admission	0	0	0	0	0	0	0	0	0	0
dirty-without-archive	reject admission	0	0	0	0	0	0	0	0	0	0
worktree-cross-report-drift	reject admission	0	0	0	0	0	0	0	0	0	0
missing-dependency_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
cross-report-dependency_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
missing-toolchain_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
cross-report-toolchain_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
missing-configuration_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
cross-report-configuration_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
missing-fixture_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
cross-report-fixture_sha256	reject admission	0	0	0	0	0	0	0	0	0	0
manifest-cross-report	reject admission	0	0	0	0	2	2	0	0	0	2
manifest-wrong-consistent	reject admission	0	0	0	0	2	0	0	0	0	2
manifest-missing-digest	reject admission	0	0	0	0	2	0	0	0	0	2
wrong-build-scope	reject admission	0	0	0	0	2	2	0	0	0	2
wrong-micro-build-scope	reject admission	0	0	0	0	0	2	0	0	0	2
wrong-geometry	reject admission	0	0	0	0	0	0	0	0	0	0
trace-enabled	reject admission	0	0	0	0	0	0	0	0	0	0
wrong-feature-profile	reject admission	0	0	0	0	0	0	0	0	0	0
kernel-drift	reject admission	0	0	0	0	0	0	0	0	0	0
wrong-pinned-memory	reject admission	0	0	0	0	2	2	0	0	0	2
baseline-wrong-scope	reject admission	2	0	0	0	0	0	0	0	0	0
baseline-overload	reject admission	2	0	1	0	0	0	0	0	0	0
candidate-overload	reject admission	0	0	0	0	0	2	0	1	0	2
environment-false	reject admission	0	0	0	0	2	0	0	1	0	2
statistics-false	reject admission	0	0	0	0	0	0	0	1	0	0
load-bool	reject admission	0	0	0	0	0	2	0	1	0	2
process-sample-bool	reject admission	0	0	0	0	2	2	0	0	0	2
micro-sample-bool	reject admission	0	0	0	0	2	2	0	0	0	2
profile-sample-bool	reject admission	0	0	0	0	2	2	0	0	0	2
load-negative	reject admission	0	0	0	0	0	0	0	0	0	0
process-sample-negative	reject admission	0	0	0	0	2	2	0	0	0	2
micro-sample-negative	reject admission	0	0	0	0	2	2	0	0	0	2
profile-sample-negative	reject admission	0	0	0	0	2	2	0	0	0	2
load-nan	reject admission	0	0	0	0	0	2	0	1	0	2
process-sample-nan	reject admission	0	0	0	0	2	2	0	0	0	2
micro-sample-nan	reject admission	0	0	0	0	2	2	0	0	0	2
profile-sample-nan	reject admission	0	0	0	0	2	2	0	0	0	2
